"epci","clust","lib"
200015162,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200016905,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200017341,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200017846,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200018083,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200018166,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200018406,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200018521,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200018653,6,"De très fortes difficultés d'accès à l'emploi pour les femmes mais aussi pour les hommes"
200022986,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200023075,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200023125,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200023240,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200023299,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200023307,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200023372,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200023414,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200023620,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200023737,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200023778,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200023794,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200023919,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200026573,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200027027,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200027076,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200027100,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200027183,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200027217,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200027308,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200027548,6,"De très fortes difficultés d'accès à l'emploi pour les femmes mais aussi pour les hommes"
200029734,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200029999,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200030195,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200030385,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200030435,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200030526,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200030633,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200030658,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200030674,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200032514,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200033025,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200033090,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200033116,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200033173,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200033181,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200033207,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200033298,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200033579,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200033827,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200033868,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200034023,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200034031,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200034049,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200034056,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200034064,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200034098,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200034130,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200034197,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200034205,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200034270,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200034379,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200034411,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200034601,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200034635,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200034692,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200034700,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200034718,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200034726,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200034825,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200034833,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200034874,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200034882,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200034957,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200035087,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035103,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200035111,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035129,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200035137,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200035202,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200035319,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200035327,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035442,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200035459,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035533,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035541,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035632,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035665,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200035707,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200035715,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200035723,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200035731,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035756,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200035764,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200035772,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200035814,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035848,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200035855,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200035863,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200035970,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200036069,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200036077,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200036135,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200036150,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200036465,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200036473,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200036499,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200036523,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200036549,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200036572,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200037059,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200037133,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200038958,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200038990,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200039022,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200039055,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200039063,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200039204,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200039519,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200039642,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200039709,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200039758,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200039808,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200039824,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200039832,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200039857,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200039865,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200039907,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200039915,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200039931,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200039949,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200040038,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200040095,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040111,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200040137,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040178,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040202,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040210,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040244,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040251,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200040277,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040293,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200040350,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040384,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040392,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040400,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040418,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200040426,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200040442,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040459,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040475,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200040491,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040509,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040558,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040566,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040574,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200040590,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040624,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040657,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200040681,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040715,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200040764,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200040772,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040798,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200040814,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200040830,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200040889,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200040905,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200040947,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200040954,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041010,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200041051,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041150,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041168,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200041283,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041317,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200041325,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200041333,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041366,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200041416,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200041440,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200041465,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041499,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200041507,6,"De très fortes difficultés d'accès à l'emploi pour les femmes mais aussi pour les hommes"
200041515,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041523,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041556,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041572,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200041614,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041622,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041630,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200041689,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041721,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041762,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200041788,6,"De très fortes difficultés d'accès à l'emploi pour les femmes mais aussi pour les hommes"
200041853,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041861,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041879,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200041887,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200041960,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200041994,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200042000,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200042174,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200042182,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200042190,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200042372,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200042414,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200042463,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200042497,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200042604,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200042620,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200042646,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200042653,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200042703,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200042729,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200042901,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200042935,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200042943,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200042992,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200043016,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200043065,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200043081,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200043123,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200043156,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200043172,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200043263,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200043321,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200043354,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200043396,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200043404,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200043438,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200043495,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200043602,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200043628,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200043693,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200043776,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200043974,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200043982,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200043990,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200044014,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200044030,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200044048,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200044253,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200044394,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200044469,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200044618,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200044691,6,"De très fortes difficultés d'accès à l'emploi pour les femmes mais aussi pour les hommes"
200046977,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200048551,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200049187,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200049211,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200049484,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200054781,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200054807,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200055481,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200055655,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200055887,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200056232,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200056380,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200057859,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200057958,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200058360,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200058477,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200058485,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200058519,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200058782,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200059228,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200059392,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200059400,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200059889,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
